INFO 2025-04-21 23:55:03,423 basehttp 7 281472749597088 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,423 basehttp 7 281472739111328 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,423 basehttp 7 281472854454688 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,423 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:03,424 basehttp 7 281472864940448 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,427 basehttp 7 281472864940448 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,436 basehttp 7 281472864940448 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:55:05,497 basehttp 7 281472864940448 "GET /admin/auth/group/add/ HTTP/1.1" 200 22442
INFO 2025-04-21 23:55:05,518 basehttp 7 281472749597088 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-04-21 23:55:05,518 basehttp 7 281472739111328 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-04-21 23:55:05,519 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:05,520 basehttp 7 281472864940448 "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2025-04-21 23:55:05,520 basehttp 7 281472854454688 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-04-21 23:55:05,521 basehttp 7 281472854454688 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-04-21 23:55:05,522 basehttp 7 281472864940448 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11921
INFO 2025-04-21 23:55:05,560 basehttp 7 281472760082848 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-04-21 23:55:05,560 basehttp 7 281472864940448 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-04-21 23:55:05,561 basehttp 7 281472854454688 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-04-21 23:55:21,960 basehttp 7 281472864940448 "GET /admin/core/grupo/add/ HTTP/1.1" 200 16148
INFO 2025-04-21 23:55:21,987 basehttp 7 281472843968928 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2025-04-21 23:55:21,987 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:21,988 basehttp 7 281472760082848 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-04-21 23:55:22,013 basehttp 7 281472843968928 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-04-21 23:55:22,014 basehttp 7 281472760082848 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-04-21 23:55:31,084 basehttp 7 281472864940448 "POST /admin/core/grupo/add/ HTTP/1.1" 302 0
INFO 2025-04-21 23:55:31,099 basehttp 7 281472864940448 "GET /admin/core/grupo/ HTTP/1.1" 200 15282
INFO 2025-04-21 23:55:31,126 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:31,135 basehttp 7 281472843968928 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-04-21 23:55:31,135 basehttp 7 281472864940448 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-04-21 23:55:37,409 basehttp 7 281472864940448 "GET /admin/core/usuario/ HTTP/1.1" 200 15819
INFO 2025-04-21 23:55:37,425 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:40,204 basehttp 7 281472864940448 "GET /admin/core/usuariogrupo/ HTTP/1.1" 200 13024
INFO 2025-04-21 23:55:40,227 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:41,521 basehttp 7 281472864940448 "GET /admin/core/usuario/ HTTP/1.1" 200 15819
INFO 2025-04-21 23:55:41,536 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:42,970 basehttp 7 281472864940448 "GET /admin/core/usuario/1/change/ HTTP/1.1" 200 33589
INFO 2025-04-21 23:55:42,989 basehttp 7 281472760082848 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-04-21 23:55:42,990 basehttp 7 281472843968928 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-04-21 23:55:42,990 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:55:45,908 basehttp 7 281472864940448 "GET /admin/auth/group/add/?_to_field=id&_popup=1 HTTP/1.1" 200 13110
INFO 2025-04-21 23:55:45,925 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:02,724 basehttp 7 281472760082848 "GET /admin/core/grupo/ HTTP/1.1" 200 15087
INFO 2025-04-21 23:56:02,756 basehttp 7 281472864940448 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,759 basehttp 7 281472864940448 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,760 basehttp 7 281472843968928 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,761 basehttp 7 281472854454688 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,762 basehttp 7 281472864940448 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,763 basehttp 7 281472739111328 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,764 basehttp 7 281472749597088 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,764 basehttp 7 281472843968928 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,764 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:02,766 basehttp 7 281472864940448 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,768 basehttp 7 281472854454688 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,768 basehttp 7 281472843968928 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,769 basehttp 7 281472739111328 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,769 basehttp 7 281472749597088 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,769 basehttp 7 281472760082848 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,771 basehttp 7 281472749597088 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,772 basehttp 7 281472760082848 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:02,774 basehttp 7 281472749597088 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:03,905 basehttp 7 281472749597088 "GET /admin/core/usuariogrupo/ HTTP/1.1" 200 13024
INFO 2025-04-21 23:56:03,921 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:05,735 basehttp 7 281472749597088 "GET /admin/core/usuariogrupo/add/ HTTP/1.1" 200 17655
INFO 2025-04-21 23:56:05,761 basehttp 7 281472739111328 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:05,766 basehttp 7 281472739111328 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-04-21 23:56:05,766 basehttp 7 281472843968928 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:56:05,769 basehttp 7 281472760082848 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:56:05,769 basehttp 7 281472749597088 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:05,770 basehttp 7 281472843968928 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:05,770 basehttp 7 281472760082848 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:10,403 basehttp 7 281472760082848 "POST /admin/core/usuariogrupo/add/ HTTP/1.1" 302 0
INFO 2025-04-21 23:56:10,415 basehttp 7 281472760082848 "GET /admin/core/usuariogrupo/ HTTP/1.1" 200 14446
INFO 2025-04-21 23:56:10,439 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:12,409 basehttp 7 281472760082848 "GET /admin/core/produto/ HTTP/1.1" 200 13756
INFO 2025-04-21 23:56:12,425 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:17,580 basehttp 7 281472760082848 "GET /admin/core/cliente/ HTTP/1.1" 200 13295
INFO 2025-04-21 23:56:17,602 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:20,441 basehttp 7 281472760082848 "GET /admin/core/cliente/add/ HTTP/1.1" 200 14897
INFO 2025-04-21 23:56:20,456 basehttp 7 281472760082848 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:27,938 basehttp 7 281472864940448 "POST /admin/core/cliente/add/ HTTP/1.1" 302 0
INFO 2025-04-21 23:56:27,952 basehttp 7 281472864940448 "GET /admin/core/cliente/ HTTP/1.1" 200 15127
INFO 2025-04-21 23:56:27,981 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:29,776 basehttp 7 281472864940448 "GET /admin/core/clientegrupo/ HTTP/1.1" 200 13024
INFO 2025-04-21 23:56:29,795 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:32,506 basehttp 7 281472864940448 "GET /admin/core/clientegrupo/add/ HTTP/1.1" 200 17616
INFO 2025-04-21 23:56:32,523 basehttp 7 281472760082848 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:32,524 basehttp 7 281472739111328 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2025-04-21 23:56:32,525 basehttp 7 281472864940448 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-04-21 23:56:32,544 basehttp 7 281472739111328 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:56:32,544 basehttp 7 281472864940448 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:56:36,510 basehttp 7 281472864940448 "POST /admin/core/clientegrupo/add/ HTTP/1.1" 302 0
